"acceptance_rate","act_avg","act_range","business_rep_score","city","control","cost_after_aid","engineering_rep_score","enrollment","hs_gpa_avg","id","is_public","is_ranked","is_tied","name","pct_receiving_aid","profile_url","rank_display","rank_numeric","ranking_year","region","sat_avg","sat_range","school_type","source","state","tuition","url_name","zip"
"5","34",,,"Princeton","private","13939","4.2","5813","3.9","2627","false","true","false","Princeton University","67","https://www.usnews.com/best-colleges/princeton-university","#1","1","2026",,"1510",,"national-universities","usnews.com","NJ","65210","princeton-university","08544"
"5","34",,"4.7","Cambridge","private","19729","4.8","4535",,"2178","false","true","false","Massachusetts Institute of Technology","56","https://www.usnews.com/best-colleges/massachusetts-institute-of-technology","#2","2","2026",,"1520",,"national-universities","usnews.com","MA","64730","massachusetts-institute-of-technology","02139"
"4","34",,,"Cambridge","private","15126","3.8","7038","3.9","2155","false","true","false","Harvard University","55","https://www.usnews.com/best-colleges/harvard-university","#3","3","2026",,"1510",,"national-universities","usnews.com","MA","64796","harvard-university","02138"
"4","34",,,"Stanford","private","22892","4.7","7904","3.9","1305","false","true","true","Stanford University","48","https://www.usnews.com/best-colleges/stanford-university","#4","4","2026",,"1510",,"national-universities","usnews.com","CA","68544","stanford-university","94305"
"4","33",,,"New Haven","private","18629","3.5","6814",,"1426","false","true","true","Yale University","49","https://www.usnews.com/best-colleges/yale-university","#4","4","2026",,"1470",,"national-universities","usnews.com","CT","69900","yale-university","06520"
"4","34",,,"Chicago","private","20774",,"7519",,"1774","false","true","false","University of Chicago","34","https://www.usnews.com/best-colleges/university-of-chicago","#6","6","2026",,"1510",,"national-universities","usnews.com","IL","73266","university-of-chicago","60637"
"6","34",,,"Durham","private","26337","3.9","6523",,"2920","false","true","true","Duke University","41","https://www.usnews.com/best-colleges/duke-university","#7","7","2026",,"1500",,"national-universities","usnews.com","NC","73172","duke-university","27708"
"6","34",,,"Baltimore","private","25575","4.1","6356","3.9","2077","false","true","true","Johns Hopkins University","52","https://www.usnews.com/best-colleges/jhu","#7","7","2026",,"1520",,"national-universities","usnews.com","MD","67170","jhu","21218"
"8","34",,,"Evanston","private","29055","3.9","9060",,"1739","false","true","true","Northwestern University","42","https://www.usnews.com/best-colleges/northwestern-university","#7","7","2026",,"1510",,"national-universities","usnews.com","IL","70589","northwestern-university","60208"
"5","34",,"4.7","Philadelphia","private","25315","3.8","10013","3.9","3378","false","true","true","University of Pennsylvania","46","https://www.usnews.com/best-colleges/university-of-pennsylvania","#7","7","2026",,"1510",,"national-universities","usnews.com","PA","71236","university-of-pennsylvania","19104"
"3",,,,"Pasadena","private","19444","4.5","987",,"1131","false","true","false","California Institute of Technology","51","https://www.usnews.com/best-colleges/california-institute-of-technology","#11","11","2026",,,,"national-universities","usnews.com","CA","68208","california-institute-of-technology","91125"
"8","33",,"4.2","Ithaca","private","32238","4.3","16128",,"2711","false","true","false","Cornell University","46","https://www.usnews.com/best-colleges/cornell-university","#12","12","2026",,"1500",,"national-universities","usnews.com","NY","72270","cornell-university","14853"
"5","34",,,"Providence","private","26776","3.4","7910",,"3401","false","true","true","Brown University","46","https://www.usnews.com/best-colleges/brown-university","#13","13","2026",,"1510",,"national-universities","usnews.com","RI","74550","brown-university","02912"
"5","33",,,"Hanover","private","21826","3.1","4570",,"2573","false","true","true","Dartmouth College","53","https://www.usnews.com/best-colleges/dartmouth-college","#13","13","2026",,"1500",,"national-universities","usnews.com","NH","71265","dartmouth-college","03755"
"4","34",,,"New York","private",,"3.8","9111",,"2707","false","true","true","Columbia University",,"https://www.usnews.com/best-colleges/columbia-university","#15","15","2026",,"1510",,"national-universities","usnews.com","NY","71845","columbia-university","10027"
"11",,,"4.6","Berkeley","public","66625","4.6","33469","3.9","1312","true","true","true","University of California, Berkeley","9","https://www.usnews.com/best-colleges/university-of-california-berkeley","#15","15","2026",,,,"national-universities","usnews.com","CA","55323","university-of-california-berkeley","94720"
"8","34",,"3.8","Houston","private","17819","3.8","4789",,"3604","false","true","true","Rice University","45","https://www.usnews.com/best-colleges/rice","#17","17","2026",,"1510",,"national-universities","usnews.com","TX","65475","rice","77005"
"9",,,,"Los Angeles","public","46450","4","33471","3.9","1315","true","true","true","University of California, Los Angeles","10","https://www.usnews.com/best-colleges/ucla","#17","17","2026",,,,"national-universities","usnews.com","CA","48674","ucla","90095"
"6","34",,,"Nashville","private","20374","3.6","7221","3.8","3535","false","true","true","Vanderbilt University","50","https://www.usnews.com/best-colleges/vanderbilt","#17","17","2026",,"1500",,"national-universities","usnews.com","TN","71226","vanderbilt","37240"
"12","34",,"4.3","Pittsburgh","private","30945","4.4","7824","3.9","3242","false","true","true","Carnegie Mellon University","38","https://www.usnews.com/best-colleges/carnegie-mellon-university","#20","20","2026",,"1500",,"national-universities","usnews.com","PA","68096","carnegie-mellon-university","15213"
"16","31",,"4.5","Ann Arbor","public","47476","4.5","34454","3.9","9092","true","true","true","University of Michigan--Ann Arbor","38","https://www.usnews.com/best-colleges/university-of-michigan-ann-arbor","#20","20","2026",,"1360",,"national-universities","usnews.com","MI","66203","university-of-michigan-ann-arbor","48109"
"11","33",,"4","Notre Dame","private","28325","3.4","8880",,"1840","false","true","true","University of Notre Dame","46","https://www.usnews.com/best-colleges/university-of-notre-dame","#20","20","2026",,"1455",,"national-universities","usnews.com","IN","67607","university-of-notre-dame","46556"
"12","33",,"4","St. Louis","private","21916","3.4","8220",,"2520","false","true","true","Washington University in St. Louis","44","https://www.usnews.com/best-colleges/washington-university-in-st-louis","#20","20","2026",,"1500",,"national-universities","usnews.com","MO","69594","washington-university-in-st-louis","63130"
"10","32",,"4","Atlanta","private","27392",,"7407","3.8","1564","false","true","true","Emory University","41","https://www.usnews.com/best-colleges/emory-university","#24","24","2026",,"1470",,"national-universities","usnews.com","GA","68056","emory-university","30322"
"13","31",,"4","Washington","private","39242",,"7833",,"1445","false","true","true","Georgetown University","28","https://www.usnews.com/best-colleges/georgetown-university","#24","24","2026",,"1390",,"national-universities","usnews.com","DC","71338","georgetown-university","20057"
"15","28",,"4.2","Chapel Hill","public","21452","3.2","21075",,"2974","true","true","true","University of North Carolina--Chapel Hill","22","https://www.usnews.com/best-colleges/university-of-north-carolina-chapel-hill","#26","26","2026",,"1390",,"national-universities","usnews.com","NC","45228","university-of-north-carolina-chapel-hill","27599"
"17","32",,"4","Charlottesville","public","29304","3.5","17901",,"6968","true","true","true","University of Virginia","24","https://www.usnews.com/best-colleges/uva","#26","26","2026",,"1410",,"national-universities","usnews.com","VA","62923","uva","22904"
"10","32",,"4.2","Los Angeles","private","43152","3.7","20630","3.8","1328","false","true","false","University of Southern California","37","https://www.usnews.com/best-colleges/university-of-southern-california","#28","28","2026",,"1450",,"national-universities","usnews.com","CA","75162","university-of-southern-california","90089"
"27",,,"3.4","La Jolla","public","61742","3.9","34955","3.9","1317","true","true","false","University of California San Diego","8","https://www.usnews.com/best-colleges/university-of-california-san-diego","#29","29","2026",,,,"national-universities","usnews.com","CA","54858","university-of-california-san-diego","92093"
"24","30",,"3.8","Gainesville","public","32050","3.6","36573","3.9","1535","true","true","true","University of Florida","14","https://www.usnews.com/best-colleges/university-of-florida","#30","30","2026",,"1320",,"national-universities","usnews.com","FL","30886","university-of-florida","32611"
"27","29",,"4.3","Austin","public","57218","4.2","43165",,"3658","true","true","true","The University of Texas--Austin","20","https://www.usnews.com/best-colleges/the-university-of-texas-austin","#30","30","2026",,"1320",,"national-universities","usnews.com","TX","44908","the-university-of-texas-austin","78705"
"14","30",,"3.9","Atlanta","public","37002","4.6","20592",,"1569","true","true","true","Georgia Institute of Technology","18","https://www.usnews.com/best-colleges/georgia-institute-of-technology","#32","32","2026",,"1370",,"national-universities","usnews.com","GA","35092","georgia-institute-of-technology","30332"
"9","34",,"4.4","New York","private","36490","3","29060","3.8","2785","false","true","true","New York University","29","https://www.usnews.com/best-colleges/nyu","#32","32","2026",,"1480",,"national-universities","usnews.com","NY","65622","nyu","10012"
"42",,,,"Davis","public","50866","3.6","32273",,"1313","true","true","true","University of California, Davis","6","https://www.usnews.com/best-colleges/university-of-california-davis","#32","32","2026",,,,"national-universities","usnews.com","CA","50324","university-of-california-davis","95616"
"29",,,"3.7","Irvine","public","57598","3.5","30204",,"1314","true","true","true","University of California, Irvine","9","https://www.usnews.com/best-colleges/university-of-california-irvine","#32","32","2026",,,,"national-universities","usnews.com","CA","49193","university-of-california-irvine","92697"
"16","33",,"3.7","Chestnut Hill","private","35303",,"9654",,"2128","false","true","true","Boston College","34","https://www.usnews.com/best-colleges/boston-college","#36","36","2026",,"1440",,"national-universities","usnews.com","MA","73508","boston-college","02467"
"12","33",,,"Medford","private","33908","3.2","7126",,"2219","false","true","true","Tufts University","34","https://www.usnews.com/best-colleges/tufts-university","#36","36","2026",,"1470",,"national-universities","usnews.com","MA","73616","tufts-university","02155"
"42","30",,"4","Champaign","public","42086","4.5","37140",,"1775","true","true","true","University of Illinois Urbana-Champaign","7","https://www.usnews.com/best-colleges/university-of-illinois-urbanachampaign","#36","36","2026",,"1380",,"national-universities","usnews.com","IL","38398","university-of-illinois-urbanachampaign","61820"
"45","29",,"3.9","Madison","public","25854","4","39083","3.9","3895","true","true","true","University of Wisconsin--Madison","15","https://www.usnews.com/best-colleges/university-of-wisconsin","#36","36","2026",,"1350",,"national-universities","usnews.com","WI","44191","university-of-wisconsin","53706"
"33",,,,"Santa Barbara","public","57004","3.4","23181","3.9","1320","true","true","false","University of California, Santa Barbara","6","https://www.usnews.com/best-colleges/university-of-california-santa-barbara","#40","40","2026",,,,"national-universities","usnews.com","CA","49885","university-of-california-santa-barbara","93106"
"61","28",,"4","Columbus","public","47580","3.7","46815",,"6883","true","true","false","The Ohio State University","13","https://www.usnews.com/best-colleges/ohio-state","#41","41","2026",,"1310",,"national-universities","usnews.com","OH","42423","ohio-state","43210"
"11","32",,"3.6","Boston","private","28985","3.3","18805","3.9","2130","false","true","true","Boston University","43","https://www.usnews.com/best-colleges/boston-university","#42","42","2026",,"1420",,"national-universities","usnews.com","MA","71372","boston-university","02215"
"41","28",,"3.2","Piscataway","public","48123","3.2","37985",,"6964","true","true","true","Rutgers University--New Brunswick","13","https://www.usnews.com/best-colleges/rutgers-new-brunswick","#42","42","2026",,"1310",,"national-universities","usnews.com","NJ","39652","rutgers-new-brunswick","08854"
"45","32",,"3.8","College Park","public","47371","3.8","31133",,"2103","true","true","true","University of Maryland, College Park","15","https://www.usnews.com/best-colleges/university-of-maryland","#42","42","2026",,"1390",,"national-universities","usnews.com","MD","41186","university-of-maryland","20742"
"39",,,"3.9","Seattle","public","51366","3.8","40754","3.8","3798","true","true","true","University of Washington","11","https://www.usnews.com/best-colleges/university-of-washington","#42","42","2026",,,,"national-universities","usnews.com","WA","44640","university-of-washington","98195"
"26","31",,"3.2","Bethlehem","private","28332","3.1","5911",,"3289","false","true","true","Lehigh University","44","https://www.usnews.com/best-colleges/lehigh-university","#46","46","2026",,"1370",,"national-universities","usnews.com","PA","67920","lehigh-university","18015"
"5","33",,"3.3","Boston","private","45775","3.5","17432",,"2199","false","true","true","Northeastern University","30","https://www.usnews.com/best-colleges/northeastern-university","#46","46","2026",,"1440",,"national-universities","usnews.com","MA","69289","northeastern-university","02115"
